name,Control,CIP,FDR,AveExpr,P value,CTRL1,CTRL2,CIP1,CIP2,CTRL1 CPM,CTRL2 CPM,CIP1 CPM,CIP2 CPM
pheS,0,0.550990217245874,0.0132192850319974,8.07633318219012,0.00222719473441589,1165,2205,2408,1840,258.772,221.000,325.569,284.726
arnC,0,-0.6390787232385,0.0132690549225827,5.15805521297684,0.00223858885768742,208,487,194,176,46.201,48.811,26.229,27.235
flhD,0,-0.815243985511208,0.0133207630158668,4.18919107422765,0.00225168510628521,109,272,101,78,24.211,27.262,13.656,12.070
hemD,0,0.620548013668711,0.0133207630158668,6.66423566328255,0.00225335356232122,354,959,893,747,78.631,96.118,120.736,115.593
rplB,0,0.618460649888073,0.0133496989936651,12.3686254119101,0.00226127554382491,18698,50412,45892,38819,4153.242,5052.639,6204.742,6006.947
waaL,0,-0.729891100111382,0.0133608735553865,7.75726989460457,0.00226619805429231,1537.45,2605.1,1018.9,1151.14,341.502,261.101,137.758,178.130
ybeY,0,0.598109273811721,0.0133772541512334,7.07765159986403,0.00227200983203488,482,1276,1199,967,107.063,127.890,162.109,149.636
yadC,0,-1.18170294289127,0.0134805595816827,2.95371462165628,0.00231232516269152,63,112,30,35,13.994,11.225,4.056,5.416
rrfH,0,-0.528656289379008,0.0134805595816827,8.63004823389528,0.00231706670360896,2389.8,4886.61,2460.26,1839.71,530.828,489.770,332.635,284.681
yafP,0,0.984618577075091,0.0134805595816827,3.21353683814444,0.0023039861937204,36,63,88,77,7.996,6.314,11.898,11.915
mglB,0,-0.855217703005608,0.0134805595816827,4.39641334180708,0.00230827476381006,129,317,124,82,28.654,31.772,16.765,12.689
rrfG,0,-0.528656289379008,0.0134805595816827,8.63004823389528,0.00231706670360896,2389.8,4886.61,2460.26,1839.71,530.828,489.770,332.635,284.681
casC,0,-0.925509800274884,0.0134805595816827,3.48592324874192,0.00230903295343781,76,160,51,53,16.881,16.036,6.895,8.201
yhdX,0,1.10697370772899,0.0134805595816827,2.88428324067446,0.00231228255800334,26,50,81,58,5.775,5.011,10.951,8.975
rrfD,0,-0.528656289379008,0.0134805595816827,8.63004823389528,0.00231706670360896,2389.8,4886.61,2460.26,1839.71,530.828,489.770,332.635,284.681
rrfC,0,-0.528656289379008,0.0134805595816827,8.63004823389528,0.00231706670360896,2389.8,4886.61,2460.26,1839.71,530.828,489.770,332.635,284.681
lolD,0,0.61874098652942,0.0134825564783771,6.30831352610294,0.00232274945020198,282,735,649,627,62.638,73.667,87.747,97.024
ffh,0,0.476032717955352,0.0134825564783771,9.01160041071806,0.00232352447246408,2115,4672,4051,3804,469.789,468.260,547.708,588.640
gnsB,0,-2.3532139296887,0.0137567911459165,7.34540535438159,0.0023739043224586,3207,2150,341,637,712.346,215.488,46.104,98.571
yegR,0,-1.21064259327623,0.0139148683399244,2.66839945114115,0.00240433779478965,47,102,33,21,10.440,10.223,4.462,3.250
creA,0,-0.643890575748189,0.0140005451827107,5.37058043799064,0.00242231654748487,240,570,244,187,53.309,57.129,32.990,28.937
ydcD,0,-1.660563231209,0.0141187059744848,1.72547076273872,0.00244596176065905,31,57,10,13,6.886,5.713,1.352,2.012
ymgG,0,-1.49920699201625,0.0141665755876432,2.28585178115857,0.00246067956919153,33,99,23,15,7.330,9.922,3.110,2.321
cas3,0,-0.794605750305522,0.0141665755876432,4.16689699346788,0.00245923726545714,124,234,88,86,27.543,23.453,11.898,13.308
dnaX,0,0.467795682411156,0.0141777865384701,8.34636831529705,0.00246905670329819,1308.99,3016,2638,2311,290.756,302.284,356.666,357.610
yfcO,0,-0.577050856423331,0.0141777865384701,5.97500750943043,0.00246896614093439,394,775,337,325,87.516,77.676,45.563,50.291
mrr,0,-0.849316645455817,0.0141880544649329,3.94212350685792,0.00247406210510961,108,204,72,74,23.989,20.446,9.735,11.451
ftsI,0,-0.489624088478185,0.0143144781104325,7.67539815021795,0.00249935332086917,1250,2423,1176,1051,277.653,242.850,158.999,162.634
hisG,0,0.481205015916979,0.0143164416907715,8.29489746204497,0.00250294252688999,1250,2913,2484,2307,277.653,291.961,335.845,356.991
lsrR,0,-0.795099499462083,0.0143748724389881,4.13364466562671,0.00251967718715142,121,229,86,84,26.877,22.952,11.627,12.998
argG,0,-0.635905467139171,0.0143748724389881,9.19540200251293,0.00251909066452455,3413,8080,3699,2485,758.103,809.833,500.116,384.535
lldD,0,0.666603582478754,0.0145121806500515,5.07103608377394,0.00254703578756006,143,260,297,246,31.763,26.059,40.155,38.067
pxpC,0,0.481846542249883,0.0145527862793308,6.94162646676552,0.00255746244137899,499,1115,1009,871,110.839,111.753,136.420,134.781
folE,0,0.480921333898918,0.0145698875544965,9.02387133442467,0.002563771596891,2163,4629,4470,3520,480.450,463.950,604.358,544.693
recB,0,0.470666993749178,0.0146316235002409,7.93359878094705,0.00257795271194721,978,2271,1971,1750,217.236,227.615,266.485,270.799
lacA,0,-2.52090080077081,0.014633744723794,0.512024948302753,0.0025834822921459,20,31,5,2,4.442,3.107,0.676,0.309
